Name,CookTime,PrepTime,TotalTime,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,foodnumber
Aloo Tikki,60.0,0.0,60.0,249.8,0.8,0.2,0.0,690.2,55.3,6.7,2.8,6.7,0
Aloo Tikki,60.0,0.0,60.0,249.8,0.8,0.2,0.0,690.2,55.3,6.7,2.8,6.7,1
Aloo Tikki,60.0,0.0,60.0,249.8,0.8,0.2,0.0,690.2,55.3,6.7,2.8,6.7,2
Aloo Tikki,60.0,0.0,60.0,249.8,0.8,0.2,0.0,690.2,55.3,6.7,2.8,6.7,3
Biryani,,,,400.0,15.0,3.0,30.0,800.0,40.0,2.0,5.0,15.0,4
French Fries,30.0,10.0,40.0,197.5,0.2,0.1,0.0,9.1,45.7,4.1,2.0,4.2,5
Burger,,,,375.0,18.0,5.0,40.0,900.0,35.0,2.0,7.0,20.0,6
Palak Paneer,30.0,30.0,60.0,220.3,10.7,4.6,17.4,446.8,25.1,10.7,7.3,13.8,7
Butter Chicken,20.0,15.0,35.0,308.1,21.7,7.6,99.4,108.0,5.2,0.9,2.5,22.5,8
